90079,1001301,單 117號以下,odd;<NUMBER:117
90077,1001301,單 141號至 429號,odd;~NUMBER:141:429
90064,1001301,單 431號至 507號,odd;~NUMBER:431:507
90079,1001301,雙 150號以下,even;<NUMBER:150
90077,1001301,雙 152號至 436號,even;~NUMBER:152:436
90063,1001301,雙 438號至 494號,even;~NUMBER:438:494
90064,1001301,雙 496號至 560號,even;~NUMBER:496:560
90141,1001326,全,=SECTION:2;all
90242,1001327,全,=SECTION:1;all
90542,1001309,全,all
90644,1001311,全,all
90844,1001306,全,all
91142,1001314,全,all
91250,1001313,全,all
92045,1001302,全,all
92541,1001315,全,all
92643,1001320,全,all
92744,1001319,全,all
92942,1001322,全,all
93142,1001321,連 131號以下,<NUMBER:131
93145,1001321,連 133號以上,>NUMBER:133
94441,1001323,全,all
94743,1001324,全,all
